state,pc_name,party,vote_percentage,rank_2019
Uttar Pradesh,Mohanlalganj,BJP,0.49622083910289433,256.0
Maharashtra,Akola,BJP,0.4952869291788752,257.0
Maharashtra,Osmanabad,SHS,0.4952478978692321,258.0
Uttar Pradesh,Muzaffarnagar,BJP,0.49460765763474823,259.0
Rajasthan,Banswara,BJP,0.49435530756679824,260.0
Kerala,Vadakara,INC,0.49431832578060264,261.0
Karnataka,Koppal,BJP,0.4929512150658589,262.0
Uttar Pradesh,Bhadohi,BJP,0.4907003146076064,263.0
Assam,Mangaldoi,BJP,0.4883245347110132,264.0
Uttar Pradesh,Faizabad,BJP,0.48662568380152715,265.0
Lakshadweep,Lakshadweep,NCP,0.486098406688081,266.0
Madhya Pradesh,MANDLA,BJP,0.48592095593687284,267.0
Jharkhand,Rajmahal,JMM,0.4847292577627983,268.0
Maharashtra,Solapur ,BJP,0.4840739723046452,269.0
Uttar Pradesh,Sitapur,BJP,0.4833422731914166,270.0
West Bengal,Ghatal,AITC,0.4822342287640262,271.0
Uttar Pradesh,Dhaurahra,BJP,0.4821260715897127,272.0
Uttar Pradesh,Meerut,BJP,0.48189554041267235,273.0
Bihar,Buxar,BJP,0.4793511953557796,274.0
West Bengal,Jadavpur,AITC,0.47913903182837425,275.0
West Bengal,Bolpur,AITC,0.4784683723530712,276.0
Madhya Pradesh,MORENA,BJP,0.47629804183629504,277.0
West Bengal,Kolkata Dakshin,AITC,0.47496902568692534,278.0
Uttar Pradesh,Ballia,BJP,0.4739808352159979,279.0
Maharashtra,Shirdi,SHS,0.47293372011012647,280.0
Bihar,Pataliputra,BJP,0.4727974695406815,281.0
Uttar Pradesh,Machhlishahr,BJP,0.47191535618523084,282.0
West Bengal,Howrah,AITC,0.47182713146520516,283.0
Uttar Pradesh,Chandauli,BJP,0.47073857954341214,284.0
Madhya Pradesh,CHHINDWARA,INC,0.4705852659108628,285.0
Telangana,Mahabubabad  ,TRS,0.4698449978902632,286.0
Maharashtra,Buldhana,SHS,0.465901554769498,287.0
West Bengal,Barasat,AITC,0.4646915034731255,288.0
Uttar Pradesh,Barabanki,BJP,0.4638604533207079,289.0
Kerala,Kottayam,KEC(M),0.4625156123158516,290.0
Uttar Pradesh,Banda,BJP,0.4619655521391447,291.0
Andhra Pradesh,Srikakulam,TDP,0.4618773054161781,292.0
Maharashtra,Yavatmal-Washim,SHS,0.46166646795319444,293.0
Jharkhand,Khunti,BJP,0.4596931438518844,294.0
Uttar Pradesh,Sultanpur,BJP,0.4590509399029907,295.0
Kerala,Kozhikode,INC,0.4585088362403398,296.0
Bihar,Aurangabad,BJP,0.45750405657925275,297.0
Maharashtra,Gadchiroli-Chimur,BJP,0.4550353636743917,298.0
West Bengal,Srerampur,AITC,0.45495093475445975,299.0
Telangana,Peddapalle ,TRS,0.45494618324191205,300.0
West Bengal,Baharampur,INC,0.45469797237993625,301.0
Jharkhand,Lohardaga,BJP,0.45452265916457707,302.0
Kerala,Mavelikkara ,INC,0.4535521376675403,303.0
West Bengal,Birbhum,AITC,0.45126715941447043,304.0
Andhra Pradesh,Vijayawada,TDP,0.450413278120013,305.0
West Bengal,Krishnanagar,AITC,0.44997998452917537,306.0
Telangana,Nalgonda,INC,0.44741571638415484,307.0
Uttar Pradesh,Basti,BJP,0.44679428641330476,308.0
West Bengal,Bardhaman Purba,AITC,0.4452443781152599,309.0
West Bengal,Arambagh,AITC,0.44153355240319,310.0
Uttar Pradesh,Sant Kabir Nagar,BJP,0.4396721804794102,311.0
Andhra Pradesh,Guntur,TDP,0.43501983759953944,312.0
Maharashtra,Parbhani,SHS,0.4301953572129868,313.0
Tamil Nadu,Theni ,ADMK,0.43018127992678246,314.0
Daman & Diu,Daman & diu,BJP,0.42983228343756075,315.0
Maharashtra,Sangli,BJP,0.42774198753233306,316.0
Assam,Dhubri,AIUDF,0.4265649063355895,317.0
Punjab,Hoshiarpur,BJP,0.42523599830842224,318.0
West Bengal,Dum dum,AITC,0.4250676539438514,319.0
Telangana,Secundrabad,BJP,0.42047587929704316,320.0
Telangana,Mahbubnagar,TRS,0.4178222567979574,321.0
Telangana,Zahirabad,TRS,0.4157971590392248,322.0
Kerala,Thiruvananthapuram,INC,0.41193747648933854,323.0
Punjab,Bathinda,SAD,0.41040964015955894,324.0
Uttar Pradesh,Kaushambi,BJP,0.3930563052754511,325.0
Punjab,Jalandhar,INC,0.3785208606886373,326.0
Punjab,Sangrur,AAAP,0.3739628244451518,327.0
Kerala,Pathanamthitta,INC,0.3710738753868529,328.0
Punjab,Ludhiana,INC,0.36658213581290505,329.0
West Bengal,Maldaha Dakshin,INC,0.34730245887670597,330.0
Jammu & Kashmir,Ladakh,BJP,0.339439672219322,331.0
Bihar,Kishanganj,INC,0.3331663040133333,332.0
Assam,Kokrajhar,IND,0.3275193732954373,333.0
