party,total_votes,percent_of_vote
86,JPJD,27619,0.01
84,SJP(R),59756,0.01
65,PPA,47018,0.01
273,JGP,27624,0.01
63,HJP,46761,0.01
261,SAD(M),35516,0.01
11,RP(K),60491,0.01
287,TNMC,49024,0.01
429,RADP,38322,0.01
338,BRAVP,4411,0.0
339,LPI(V),1993,0.0
337,RJPK,10797,0.0
294,ADSMK,2372,0.0
335,BKPP,7342,0.0
336,A S P,557,0.0
341,BRVP,1152,0.0
334,RVP,2396,0.0
333,RSOSP,1054,0.0
332,RMGP,2872,0.0
331,RSD,665,0.0
330,RtJP,4117,0.0
340,NP,791,0.0
344,JKM,2711,0.0
286,MMKA,8468,0.0
342,BNIP,1440,0.0
343,BKrD,4250,0.0
19,MBT,11347,0.0
345,NEP,2917,0.0
347,BRPP,8226,0.0
21,SHP,7953,0.0
348,ISSP,16903,0.0
279,AKBAP,1040,0.0
349,MwSP,17890,0.0
350,SARP,9561,0.0
278,AAP,4380,0.0
351,SWPI,11361,0.0
352,RRP,2225,0.0
353,ASaP,1617,0.0
329,ABSC,2530,0.0
325,RtrJP,1526,0.0
328,RTKP,4112,0.0
327,DND,4130,0.0
307,TPGC,8952,0.0
305,IPFT,21326,0.0
289,APM,372,0.0
304,IVP,398,0.0
9,NIP,5082,0.0
302,JJ,1517,0.0
301,ETMK,3023,0.0
300,DFBL,17465,0.0
299,NMK,2511,0.0
10,MaSP,22022,0.0
297,UPI,944,0.0
296,TTNC,474,0.0
295,JMM(U),3512,0.0
291,UMK,9194,0.0
293,UCPI,6472,0.0
308,ARVP,12037,0.0
355,INL,11924,0.0
288,NOC,1198,0.0
317,IBSP,1059,0.0
326,IOP,649,0.0
324,BSKP,2409,0.0
323,NNP,441,0.0
322,SSAD,6788,0.0
320,RAC,4527,0.0
319,SSKP,10239,0.0
316,MD,22774,0.0
309,RJ,1145,0.0
315,RWSP,2181,0.0
314,AIMF,9938,0.0
313,AIRSP,543,0.0
312,MKUP,360,0.0
311,VAJP,350,0.0
310,BaVaP,4142,0.0
354,MaSPa,2425,0.0
62,RDHP,4112,0.0
356,UPRP,542,0.0
402,BSKD,1423,0.0
423,JKP(N),16670,0.0
422,AKBJHP,16616,0.0
421,JHAP,12240,0.0
420,IUC,13527,0.0
419,IJP,1103,0.0
418,TRMRPPI,1071,0.0
417,NSBP,3829,0.0
416,JeSM,10564,0.0
415,PDS,22284,0.0
414,grac,2906,0.0
413,RJNP,18210,0.0
411,shsap,2982,0.0
410,BRPI,2138,0.0
409,AMP,1920,0.0
408,RVMP,1434,0.0
407,BhNP,2000,0.0
406,MaJP,997,0.0
405,RaAD,4327,0.0
404,AGRJP,5228,0.0
426,JVD,10870,0.0
428,RJM,4647,0.0
430,SLP(L),1997,0.0
443,VSP,263,0.0
451,JSMP,357,0.0
450,RJAP,415,0.0
449,ABSP,651,0.0
448,BVLP,161,0.0
447,RaJPa,217,0.0
446,BJM,325,0.0
445,REP,601,0.0
444,BPC,2571,0.0
442,ATBP,2135,0.0
432,MMM,4409,0.0
441,bjdi,1118,0.0
440,HEP,566,0.0
439,BKLJP,3392,0.0
438,BCP,802,0.0
437,UPP,2045,0.0
436,raup,1629,0.0
435,BMNSP,877,0.0
434,pms,3076,0.0
403,ESKP,2988,0.0
401,JaRaPa,1318,0.0
357,BHNKP,502,0.0
400,JRPa,3846,0.0
377,BKSL,3826,0.0
376,EKSP,5341,0.0
375,RrSP,4215,0.0
374,ARWP,2029,0.0
373,ABRS,683,0.0
372,PSJP,433,0.0
371,ABAS,296,0.0
370,RshJP,1571,0.0
369,RaIP,4219,0.0
8,BCUF,7036,0.0
276,IPGP,3488,0.0
366,ssrd,7115,0.0
365,MBCOI,19417,0.0
364,PGSP,4052,0.0
363,KMBS,7839,0.0
362,NJC,1463,0.0
361,HKRD,6703,0.0
359,BKP,1174,0.0
358,RVLP,2958,0.0
378,RaBaP,1521,0.0
379,RGD,1111,0.0
380,kajp,4839,0.0
391,DNP,5485,0.0
399,SaDa,2329,0.0
398,BSD,1096,0.0
397,SaSaP,4947,0.0
396,JaRaP,2543,0.0
395,RaCP,7650,0.0
394,Aa S P,3482,0.0
393,BaSaP,5845,0.0
392,MOP,5406,0.0
390,ADUP,9265,0.0
381,MADP,15742,0.0
389,PPI,4082,0.0
388,IPP,2155,0.0
387,BSP(K),5416,0.0
386,BRABSVP,3238,0.0
385,AAMJP,9371,0.0
384,S(J),14152,0.0
383,JSEP,6636,0.0
382,JSK,4489,0.0
367,RaMSP,1572,0.0
257,NBDP,16153,0.0
275,LS,3722,0.0
42,NBNP,485,0.0
50,GaAP,23505,0.0
142,YuS,4578,0.0
141,RKEP,1254,0.0
140,LSWP,2820,0.0
139,HND,8889,0.0
138,PAP,698,0.0
137,BSDL,1723,0.0
136,ABCD(A),1461,0.0
135,LoRP,1491,0.0
134,NYP,1176,0.0
133,VHS,2880,0.0
132,BNJD,20209,0.0
131,RPIE,910,0.0
130,GSRP,783,0.0
129,GOA,530,0.0
128,MOSP,4986,0.0
127,RAHM,13185,0.0
126,SSD,10395,0.0
125,RSWD,6994,0.0
144,ADPT,5579,0.0
145,ADSP,11362,0.0
146,VoP,1089,0.0
158,RBHP,1842,0.0
168,hkd,2761,0.0
166,AVIRP,5861,0.0
165,ABHKP,685,0.0
164,AIPF,7630,0.0
163,RMOP,923,0.0
161,RBC,6265,0.0
160,PHRC,4852,0.0
159,RJAVP,259,0.0
157,RJP(E),2654,0.0
48,DABAP,7746,0.0
156,RPP(LB),1195,0.0
155,JM,2901,0.0
154,BhSMP,15940,0.0
43,MCPI,13019,0.0
152,LPR,4396,0.0
151,IBSPK,1952,0.0
150,NAJC,2196,0.0
149,RAKP,2096,0.0
122,HVD,7921,0.0
121,ABJS,20902,0.0
120,BJKD,14685,0.0
79,BJKVP,21524,0.0
92,BMF,16182,0.0
91,LKJP,10026,0.0
90,JHP,14754,0.0
89,VIP,23991,0.0
87,AKBMP,11221,0.0
53,ARPS,12042,0.0
82,NaLP,3072,0.0
80,SKLP,19253,0.0
77,KS,2946,0.0
94,RVNP,8713,0.0
72,rdsc,10800,0.0
54,NPT,1455,0.0
55,GRIP,2594,0.0
56,SDP,17435,0.0
57,STR,6542,0.0
58,RPS,4521,0.0
66,LB,13399,0.0
60,ANC,19863,0.0
93,PSS,15368,0.0
95,BJJD,4664,0.0
119,APCP,15370,0.0
110,MHD,2482,0.0
118,BIP,5362,0.0
117,BBMP,10160,0.0
116,KVD,7541,0.0
115,NLP,11174,0.0
114,SaBP,16078,0.0
113,NTP,3251,0.0
112,RND,6192,0.0
111,BBC,7197,0.0
109,NADP,15967,0.0
97,BEMP,8729,0.0
108,BJPARTY,6765,0.0
107,SWSP,4016,0.0
105,RBCP,5801,0.0
104,RJJM,7147,0.0
102,LPSP,13304,0.0
51,RPC(S),2025,0.0
100,PBI,2271,0.0
52,ILP(AP),6390,0.0
169,HiSP,997,0.0
172,PRISM,2694,0.0
274,BNNP,2533,0.0
174,AKAKRP,1568,0.0
245,bns,1862,0.0
244,PG,7222,0.0
27,APRSSP,2743,0.0
242,lpi,5804,0.0
241,HSCP,888,0.0
240,PPIS,331,0.0
239,SVPP,394,0.0
238,RAPa,3408,0.0
237,DaP,2175,0.0
236,RBS,2910,0.0
234,RSSDP,3283,0.0
233,MVA,3715,0.0
231,ABMP,1077,0.0
230,DESEP,1262,0.0
229,NRSN,1725,0.0
228,ARP,16461,0.0
227,PRCP,19470,0.0
31,sps,4870,0.0
225,MPS(T),13339,0.0
246,SVRP,944,0.0
247,BJSP,1337,0.0
248,HiPPa,8853,0.0
263,BhJaSP,3336,0.0
272,bhp,1635,0.0
271,RJVP,8152,0.0
269,PLP,1386,0.0
268,ABSR,4380,0.0
267,JanSP,944,0.0
266,IKL,5084,0.0
265,IVD,2570,0.0
264,aicp,3778,0.0
262,aimpr,1182,0.0
26,BCBDP,596,0.0
23,TLP,2567,0.0
259,BSP(A),11104,0.0
258,DBSP,5240,0.0
256,DCP,833,0.0
255,SSPD,6681,0.0
254,BGTD,5761,0.0
253,MEDP,10490,0.0
250,MDPF,2005,0.0
32,mmsp,959,0.0
223,SWJP,10008,0.0
222,ABVCP,2255,0.0
40,AIACP,1593,0.0
38,ICSP,14360,0.0
194,SRP,6512,0.0
193,igp,546,0.0
39,TECPI,2311,0.0
191,KCVP,707,0.0
190,KDC,1345,0.0
189,asdp,1949,0.0
188,DPPS,1342,0.0
186,JVBP,4270,0.0
199,JND,4719,0.0
185,VJCP,3972,0.0
184,RCMP,2803,0.0
183,BDBRAJP,9481,0.0
182,NDEP,3618,0.0
180,BHPP,4291,0.0
178,SJPA,15474,0.0
177,BHBP,4653,0.0
176,AJKMP,4392,0.0
197,SLAP,682,0.0
200,BRMD,1607,0.0
221,AMS,8544,0.0
211,RsAD,12366,0.0
220,BMSM,3441,0.0
219,SaVP,763,0.0
218,PRSP,21284,0.0
217,MNDP,11225,0.0
216,BHSSP,4956,0.0
33,RPI(KH),23110,0.0
213,CSM,11837,0.0
212,SamSP,16501,0.0
210,SAP,21631,0.0
201,ALHP,5977,0.0
209,BSDS,924,0.0
208,DaVP,950,0.0
207,BC,5371,0.0
34,JAP,2249,0.0
205,BBPSP,1679,0.0
204,MAHP,2101,0.0
203,BhNaP,1408,0.0
202,bjyp,2000,0.0
226,AwVP,3747,0.0
